Loading model: chatgpt-oss-20b.safetensors (fmt=safetensors)
Prompt: Simulation 3: chatgpt-oss 20B
Step 0: token=60, lp=0.600001
Step 1: token=60, lp=0.600001
Step 2: token=60, lp=0.600001
Step 3: token=60, lp=0.600001
Step 4: token=60, lp=0.600001
Step 5: token=60, lp=0.600001
Step 6: token=60, lp=0.600001
Step 7: token=60, lp=0.600001
Step 8: token=60, lp=0.600001
Step 9: token=60, lp=0.600001
Step 10: token=60, lp=0.600001
Step 11: token=60, lp=0.600001
Step 12: token=60, lp=0.600001
Step 13: token=60, lp=0.600001
Step 14: token=60, lp=0.600001
Step 15: token=60, lp=0.600001
Step 16: token=60, lp=0.600001
Step 17: token=60, lp=0.600001
Step 18: token=60, lp=0.600001
Step 19: token=60, lp=0.600001
Step 20: token=60, lp=0.600001
Step 21: token=60, lp=0.600001
Step 22: token=60, lp=0.600001
Step 23: token=60, lp=0.600001
Step 24: token=60, lp=0.600001
Step 25: token=60, lp=0.600001
Step 26: token=60, lp=0.600001
Step 27: token=60, lp=0.600001
Step 28: token=60, lp=0.600001
Step 29: token=60, lp=0.600001
Step 30: token=60, lp=0.600001
Step 31: token=60, lp=0.600001
Step 32: token=60, lp=0.600001
Step 33: token=60, lp=0.600001
Step 34: token=60, lp=0.600001
Step 35: token=60, lp=0.600001
Step 36: token=60, lp=0.600001
Step 37: token=60, lp=0.600001
Step 38: token=60, lp=0.600001
Step 39: token=60, lp=0.600001
Step 40: token=60, lp=0.600001
Step 41: token=60, lp=0.600001
Step 42: token=60, lp=0.600001
Step 43: token=60, lp=0.600001
Step 44: token=60, lp=0.600001
Step 45: token=60, lp=0.600001
Step 46: token=60, lp=0.600001
Step 47: token=60, lp=0.600001
Step 48: token=60, lp=0.600001
Step 49: token=60, lp=0.600001
Step 50: token=60, lp=0.600001
Step 51: token=60, lp=0.600001
Step 52: token=60, lp=0.600001
Step 53: token=60, lp=0.600001
Step 54: token=60, lp=0.600001
Step 55: token=60, lp=0.600001
Step 56: token=60, lp=0.600001
Step 57: token=60, lp=0.600001
Step 58: token=60, lp=0.600001
Step 59: token=60, lp=0.600001
Step 60: token=60, lp=0.600001
Step 61: token=60, lp=0.600001
Step 62: token=60, lp=0.600001
Step 63: token=60, lp=0.600001
Step 64: token=60, lp=0.600001
Step 65: token=60, lp=0.600001
Step 66: token=60, lp=0.600001
Step 67: token=60, lp=0.600001
Step 68: token=60, lp=0.600001
Step 69: token=60, lp=0.600001
Step 70: token=60, lp=0.600001
Step 71: token=60, lp=0.600001
Step 72: token=60, lp=0.600001
Step 73: token=60, lp=0.600001
Step 74: token=60, lp=0.600001
Step 75: token=60, lp=0.600001
Step 76: token=60, lp=0.600001
Step 77: token=60, lp=0.600001
Step 78: token=60, lp=0.600001
Step 79: token=60, lp=0.600001
Step 80: token=60, lp=0.600001
Step 81: token=60, lp=0.600001
Step 82: token=60, lp=0.600001
Step 83: token=60, lp=0.600001
Step 84: token=60, lp=0.600001
Step 85: token=60, lp=0.600001
Step 86: token=60, lp=0.600001
Step 87: token=60, lp=0.600001
Step 88: token=60, lp=0.600001
Step 89: token=60, lp=0.600001
Step 90: token=60, lp=0.600001
Step 91: token=60, lp=0.600001
Step 92: token=60, lp=0.600001
Step 93: token=60, lp=0.600001
Step 94: token=60, lp=0.600001
Step 95: token=60, lp=0.600001
Step 96: token=60, lp=0.600001
Step 97: token=60, lp=0.600001
Step 98: token=60, lp=0.600001
Step 99: token=60, lp=0.600001
Step 100: token=60, lp=0.600001
Step 101: token=60, lp=0.600001
Step 102: token=60, lp=0.600001
Step 103: token=60, lp=0.600001
Step 104: token=60, lp=0.600001
Step 105: token=60, lp=0.600001
Step 106: token=60, lp=0.600001
Step 107: token=60, lp=0.600001
Step 108: token=60, lp=0.600001
Step 109: token=60, lp=0.600001
Step 110: token=60, lp=0.600001
Step 111: token=60, lp=0.600001
Step 112: token=60, lp=0.600001
